image_pair,ssim
train_video_012_frame_002261.jpg vs train_video_012_frame_002279.jpg,0.2687321622033699
train_video_012_frame_002279.jpg vs train_video_012_frame_002307.jpg,0.22817405093555534
train_video_012_frame_002307.jpg vs train_video_012_frame_002321.jpg,0.23187952294920386
train_video_012_frame_002321.jpg vs train_video_012_frame_002334.jpg,0.2035585207900055
train_video_012_frame_002334.jpg vs train_video_012_frame_002347.jpg,0.1772163353444664
train_video_012_frame_002347.jpg vs train_video_012_frame_002362.jpg,0.17522528647056465
train_video_012_frame_002362.jpg vs train_video_012_frame_002372.jpg,0.20424781481016263
train_video_012_frame_002372.jpg vs train_video_012_frame_002390.jpg,0.1677591519901049
train_video_012_frame_002390.jpg vs train_video_012_frame_002410.jpg,0.18316795503147626
train_video_012_frame_002410.jpg vs train_video_012_frame_002433.jpg,0.14694140105465572
train_video_012_frame_002433.jpg vs train_video_012_frame_002454.jpg,0.16235560509566224
train_video_012_frame_002454.jpg vs train_video_012_frame_002462.jpg,0.18382771777828744
train_video_012_frame_002462.jpg vs train_video_012_frame_002474.jpg,0.19908813189899965
train_video_012_frame_002474.jpg vs train_video_012_frame_002485.jpg,0.20355383146950756
train_video_012_frame_002485.jpg vs train_video_012_frame_002521.jpg,0.23175007882755752
train_video_012_frame_002521.jpg vs train_video_012_frame_002637.jpg,0.2975781601769024
train_video_012_frame_002637.jpg vs train_video_013_frame_000111.jpg,0.3099136931518175
train_video_013_frame_000111.jpg vs train_video_013_frame_000156.jpg,0.48061209160097074
train_video_013_frame_000156.jpg vs train_video_013_frame_000228.jpg,0.4871869327332158
train_video_013_frame_000228.jpg vs train_video_013_frame_000263.jpg,0.5395783968144071
train_video_013_frame_000263.jpg vs train_video_013_frame_000297.jpg,0.5593712395574958
train_video_013_frame_000297.jpg vs train_video_013_frame_000332.jpg,0.5591695793081758
train_video_013_frame_000332.jpg vs train_video_013_frame_000379.jpg,0.5665828888703478
train_video_013_frame_000379.jpg vs train_video_014_frame_000159.jpg,0.3484449889056698
train_video_014_frame_000159.jpg vs train_video_014_frame_000614.jpg,0.31369628088852675
train_video_014_frame_000614.jpg vs train_video_014_frame_000734.jpg,0.3545340890975512
train_video_014_frame_000734.jpg vs train_video_014_frame_001224.jpg,0.32486393758946297
train_video_014_frame_001224.jpg vs train_video_014_frame_001444.jpg,0.4321986513195276
train_video_014_frame_001444.jpg vs train_video_014_frame_001688.jpg,0.4885342103131372
train_video_014_frame_001688.jpg vs train_video_014_frame_001888.jpg,0.5839105686124966
train_video_014_frame_001888.jpg vs train_video_014_frame_002064.jpg,0.752287136326472
train_video_014_frame_002064.jpg vs train_video_014_frame_002299.jpg,0.6134607136910734
train_video_014_frame_002299.jpg vs train_video_014_frame_002498.jpg,0.5313208894781898
train_video_014_frame_002498.jpg vs train_video_015_frame_001785.jpg,0.3538861149755761
train_video_015_frame_001785.jpg vs train_video_015_frame_001793.jpg,0.4733318101051254
train_video_015_frame_001793.jpg vs train_video_015_frame_001846.jpg,0.4034444341374569
train_video_015_frame_001846.jpg vs train_video_015_frame_001869.jpg,0.3438995012111711
train_video_015_frame_001869.jpg vs train_video_015_frame_001908.jpg,0.27714527783816134
train_video_015_frame_001908.jpg vs train_video_015_frame_001949.jpg,0.335655834624481
train_video_015_frame_001949.jpg vs train_video_015_frame_002524.jpg,0.3311667476441936
train_video_015_frame_002524.jpg vs train_video_015_frame_002574.jpg,0.12426852669147026
train_video_015_frame_002574.jpg vs train_video_015_frame_002590.jpg,0.054083804631410035
train_video_015_frame_002590.jpg vs train_video_015_frame_002596.jpg,0.052759074149892365
train_video_015_frame_002596.jpg vs train_video_015_frame_002606.jpg,0.07758163863630516
train_video_015_frame_002606.jpg vs train_video_015_frame_002613.jpg,0.08081076851870657
train_video_015_frame_002613.jpg vs train_video_015_frame_002624.jpg,0.08417957561398996
train_video_015_frame_002624.jpg vs train_video_015_frame_002635.jpg,0.08329202219408811
train_video_015_frame_002635.jpg vs train_video_015_frame_002725.jpg,0.09156461647591756
train_video_015_frame_002725.jpg vs train_video_015_frame_002757.jpg,0.08081351311702713
train_video_015_frame_002757.jpg vs train_video_015_frame_002764.jpg,0.09535431166442816
train_video_015_frame_002764.jpg vs train_video_015_frame_002802.jpg,0.07699462964332374
train_video_015_frame_002802.jpg vs train_video_015_frame_002811.jpg,0.07675145240076106
train_video_015_frame_002811.jpg vs train_video_015_frame_002825.jpg,0.07412355681857603
train_video_015_frame_002825.jpg vs train_video_015_frame_002832.jpg,0.08021954088028435
train_video_015_frame_002832.jpg vs train_video_015_frame_002846.jpg,0.0813355548594488
train_video_015_frame_002846.jpg vs train_video_015_frame_002862.jpg,0.07587330465739746
train_video_015_frame_002862.jpg vs train_video_015_frame_002891.jpg,0.08177792225491437
train_video_015_frame_002891.jpg vs train_video_015_frame_002915.jpg,0.08041806785696348
train_video_015_frame_002915.jpg vs train_video_015_frame_002959.jpg,0.07690411616675519
train_video_015_frame_002959.jpg vs train_video_015_frame_002972.jpg,0.10884028364316702
train_video_015_frame_002972.jpg vs train_video_015_frame_002989.jpg,0.11387443840704277
train_video_015_frame_002989.jpg vs train_video_015_frame_003020.jpg,0.09443438957928123
train_video_015_frame_003020.jpg vs train_video_015_frame_003036.jpg,0.09684627551704128
train_video_015_frame_003036.jpg vs train_video_015_frame_003060.jpg,0.11062005382992227
train_video_015_frame_003060.jpg vs train_video_015_frame_003079.jpg,0.127802209020824
train_video_015_frame_003079.jpg vs train_video_015_frame_003088.jpg,0.13027707659532717
train_video_015_frame_003088.jpg vs train_video_015_frame_003101.jpg,0.14389798001173595
train_video_015_frame_003101.jpg vs train_video_015_frame_003116.jpg,0.14506410729053806
train_video_015_frame_003116.jpg vs train_video_015_frame_003124.jpg,0.16500789385956513
train_video_015_frame_003124.jpg vs train_video_015_frame_003137.jpg,0.16610473333533468
train_video_015_frame_003137.jpg vs train_video_015_frame_003148.jpg,0.16375594254647083
train_video_015_frame_003148.jpg vs train_video_015_frame_003170.jpg,0.16129829651225627
train_video_015_frame_003170.jpg vs train_video_015_frame_003191.jpg,0.16969958195134854
train_video_015_frame_003191.jpg vs train_video_015_frame_003212.jpg,0.17641062910258767
train_video_015_frame_003212.jpg vs train_video_015_frame_003220.jpg,0.19853613849930263
train_video_015_frame_003220.jpg vs train_video_015_frame_003228.jpg,0.19641855039702655
train_video_015_frame_003228.jpg vs train_video_015_frame_003243.jpg,0.17306773431935643
train_video_015_frame_003243.jpg vs train_video_015_frame_003254.jpg,0.16626549849848485
train_video_015_frame_003254.jpg vs train_video_015_frame_003279.jpg,0.14465088938032086
train_video_015_frame_003279.jpg vs train_video_015_frame_003323.jpg,0.13354781116148995
train_video_015_frame_003323.jpg vs train_video_015_frame_003334.jpg,0.1498565551262566
train_video_015_frame_003334.jpg vs train_video_015_frame_003341.jpg,0.14274094068364437
train_video_015_frame_003341.jpg vs train_video_015_frame_003356.jpg,0.13743375953283357
train_video_015_frame_003356.jpg vs train_video_015_frame_003378.jpg,0.13554524778295737
train_video_015_frame_003378.jpg vs train_video_015_frame_003384.jpg,0.14386851485467744
train_video_015_frame_003384.jpg vs train_video_015_frame_003560.jpg,0.11578074764624116
train_video_015_frame_003560.jpg vs train_video_015_frame_003951.jpg,0.2055319831489734
train_video_015_frame_003951.jpg vs train_video_015_frame_004143.jpg,0.9043984219037103
train_video_015_frame_004143.jpg vs train_video_015_frame_004179.jpg,0.9429358401770775
train_video_015_frame_004179.jpg vs train_video_015_frame_004220.jpg,0.9600671056762256
train_video_015_frame_004220.jpg vs train_video_015_frame_004298.jpg,0.9686519702649692
